Date,Food,Clths,Durbl,Chems,Cnsum,Cnstr,Steel,FabPr,Machn,Cars,Trans,Utils,Rtail,Finan,Other,Mkt,RF
1935-01-01,  -1.04,  -1.27,  -6.25,  -1.35,  -1.23,  -3.17,  -5.76,   1.11,   0.95,  -8.99,  -6.67,  -3.17,  -5.31,  -5.03,  -1.41,  -3.46   0.01,   0.01
1935-02-01,   2.72,  -2.28,  -2.52,  -0.38,   2.27,  -2.57,  -6.78,   5.75,   0.93,  -3.53,  -7.14, -12.19,  -0.63,  -1.79,   0.14,  -1.96   0.02,   0.02
1935-03-01,  -4.12,  -4.73,  -7.40,  -3.01,  -5.83,  -6.34,  -4.14,  -2.55,  -4.61,  -5.78,  -9.11,  12.36,  -4.31,  -1.72,  -2.52,  -3.71   0.01,   0.01
1935-04-01,   3.35,   5.01,   6.50,   8.85,   7.86,   9.29,  14.29,   5.75,  10.09,   5.58,   7.70,  11.15,   6.95,   6.30,   8.84,   9.06   0.01,   0.01
1935-05-01,   0.23,   1.90,   0.76,   3.05,   0.81,   3.18,  -0.32,   2.96,   2.40,   2.87,   2.41,  13.77,   2.60,   5.76,   7.19,   3.46   0.01,   0.01
1935-06-01,   7.79,   3.51,   0.22,   6.32,   4.15,   7.32,   2.77,  11.35,   8.59,  10.13,   7.59,   9.13,   6.32,   7.36,   5.65,   5.93   0.01,   0.01
1935-07-01,  -0.45,   5.87,  17.15,   4.91,   7.04,  12.01,  18.57,   5.98,  11.67,  19.36,  10.19,   9.23,   7.55,   8.06,   6.20,   7.54   0.01,   0.01
1935-08-01,  -2.88,  -0.33,  12.97,   5.35,  -0.12,   0.37,   6.53,  -2.18,   3.04,   9.07,   0.42,   7.23,   2.98,   5.66,   2.58,   2.65   0.01,   0.01
1935-09-01,   1.26,   4.86,   4.01,   7.02,   1.25,   2.89,   4.12,   2.99,   7.45,  11.48,  -0.21,  -2.04,  -0.62,  -1.82,   3.91,   2.62   0.01,   0.01
1935-10-01,   7.26,   4.54,   9.73,   3.77,   1.51,  13.57,   5.77,   4.99,   8.84,  13.80,   0.62,  14.16,   1.18,   8.00,   4.25,   7.03   0.01,   0.01
1935-11-01,   2.12,   1.98,   8.77,   2.38,  -0.98,   4.74,   7.35,   0.53,   4.32,   3.35,  14.44,   0.83,   2.78,  12.70,  10.17,   4.87   0.02,   0.02
1935-12-01,   3.91,   2.82,   7.93,   0.94,   0.62,   9.11,   4.59,  -4.10,   2.84,   5.78,   4.79,   5.63,  -1.05,   5.44,   1.69,   4.55   0.01,   0.01
1936-01-01,   3.14,   5.84,  11.13,   5.46,   2.63,   6.82,   6.76,  -4.67,   6.04,   3.73,  14.33,  12.54,  -2.94,   6.58,   5.78,   6.89   0.01,   0.01
1936-02-01,   3.13,   3.06,   5.87,   2.44,  -2.57,   6.80,  10.45,   0.15,   2.86,   3.89,   5.21,  -6.60,   1.01,  -0.83,   4.56,   2.49   0.01,   0.01
1936-03-01,  -1.30,  -0.32,   7.26,   2.81,  -2.41,  -0.65,   1.84,   0.90,   2.66,  10.25,  -2.65,   0.65,   1.18,  -2.28,  -2.32,   0.96   0.02,   0.02
1936-04-01,  -4.76,  -7.80, -12.36,  -6.29,  -4.39, -11.74, -10.89,  -1.78,  -8.50,  -9.98,  -8.50,  -8.35,  -5.17,  -7.61,  -7.27,  -8.14   0.02,   0.02
1936-05-01,   6.76,   2.09,   5.61,   6.18,   3.35,   5.65,   6.62,   3.83,   5.92,   4.14,   7.68,   9.53,   6.69,  13.02,   5.11,   5.19   0.02,   0.02
1936-06-01,   2.56,  -0.15,  -1.10,   4.17,   3.32,  -0.16,  -1.12,  -0.61,   1.37,   7.14,   1.35,   3.62,   5.31,   3.73,   1.98,   2.40   0.03,   0.03
1936-07-01,   3.29,   3.94,  12.20,   9.34,   2.89,   8.56,  10.55,  -0.78,   8.78,   5.00,  12.11,  11.59,   6.32,   7.15,   2.52,   6.68   0.01,   0.01
1936-08-01,   1.50,  -0.75,   2.17,  -1.46,   0.00,   0.85,   6.30,  -0.93,   2.46,  -0.38,   2.33,  -1.02,   2.48,   0.21,   1.50,   0.99   0.02,   0.02
1936-09-01,  -1.52,   2.84,   6.00,   1.91,  -0.10,  -0.50,   1.32,   1.37,   0.66,   3.30,   1.85,  -2.05,   2.68,   2.31,   0.56,   0.97   0.01,   0.01
1936-10-01,   3.97,   5.04,   7.87,   5.61,   3.51,   7.07,  12.61,   2.63,   6.96,   5.02,   5.14,   5.73,  11.29,   5.49,   5.27,   7.10   0.02,   0.02
1936-11-01,   4.70,   7.49,   8.68,   4.38,   3.02,   8.84,   4.66,   1.51,   5.51,  -1.76,  -1.56,  -2.84,  10.92,   5.97,   5.69,   3.26   0.01,   0.01
1936-12-01,  -0.71,   0.50,  -1.01,  -2.24,  -1.29,   1.00,   4.51,  -2.18,   3.96,  -7.84,  -0.20,  -1.63,  -8.25,  -2.72,   0.11,   0.20   0.00,   0.00
